name,slug,ceo_name,ceo_linkedin,company_linkedin,eng,remote,job_website,description,stage,tags,industries,all_locations,team_size,batch,funding
AuroraQ,auroraq,Raina Olsen,https://www.linkedin.com/in/raina-olsen-74b13643/,\N,false,false,https://www.ycombinator.com/companies/auroraq/jobs (could not find a dedicated career website),"Building the first practical, integrated quantum computer.",Early,{quantum computing},"{industrials,manufacturing and robotics}","Waterloo, ON, Canada",1,Winter 2019,9000000
PerShop,pershop,Amol Jain,https://www.linkedin.com/in/jainamol/,\N,false,false,https://www.ycombinator.com/companies/pershop/jobs (could not find a dedicated career website),Your personal clothing store!,Early,"{e-commerce,fashion}","{consumer,apparel and cosmetics}","San Francisco, CA, USA",2,Winter 2019,5000000
Docucharm,docucharm,Sachith Gullapalli,https://www.linkedin.com/in/sachith-gullapalli-68719aa0/,\N,false,false,http://www.docucharm.com/careers,Automate paperwork by turning documents into structured data.,Early,"{artificial intelligence,nlp}","{b2b,operations}","Mountain View, CA, USA",2,Winter 2019,7575000
ResistanceBio,viosera-therapeutics,Nicholas Goldner,https://www.linkedin.com/in/nicholas-goldner,\N,false,false,https://www.ycombinator.com/companies/viosera-therapeutics/jobs (could not find a dedicated career website),We solve drug resistance for cancer,Early,{ai-powered drug discovery},"{healthcare,therapeutics}","Menlo Park, CA, USA; Overland, MO, USA",15,Winter 2019,12045000
Simmer,simmer,Richard Wu,https://www.linkedin.com/in/wu-richard/,\N,false,false,https://www.ycombinator.com/companies/simmer/jobs (could not find a dedicated career website),We do reviews for dishes. Our app helps users find the very best…,Early,"{delivery,food,reviews}","{consumer,travel, leisure and tourism}","San Francisco, CA, USA",2,Winter 2019,15000000
Basilica,basilica,Michael Lucy,https://www.linkedin.com/in/michael-lucy-b59534171,\N,false,false,https://www.basilica.ai/careers,Basilica is an API that embeds high-dimensional data like images and…,Early,"{machine learning,api}","{b2b,engineering, product and design}","San Francisco, CA, USA",2,Winter 2019,15000000
Adventurous Co,adventurous-co,Jeany Ngo,http://linkedin.com/in/jeanyngo,\N,false,false,https://www.ycombinator.com/companies/adventurous-co/jobs (could not find a dedicated career website),Disney meets Airbnb Experiences,Early,{travel},"{consumer,virtual and augmented reality}","San Francisco, CA, USA",2,Winter 2019,12000000
Herald,herald,Nilkanth Patel,https://www.linkedin.com/in/nilkanth-patel-75346134/,https://www.linkedin.com/company/heraldhq/,false,false,https://www.ycombinator.com/companies/herald/jobs (could not find a dedicated career website),A collaborative repository for user feedback.,Early,"{customer success,team collaboration}","{b2b,office management}","Dublin, CA, USA; Remote",2,Winter 2019,\N
Avalanche,avalanche,Nikhil Shinday,https://www.linkedin.com/in/nikhil-shinday-24255266/,\N,false,false,https://useavalanche.com/careers,Referral program SDK for startups,Early,{marketing},"{b2b,marketing}","San Francisco, CA, USA",1,Winter 2019,\N
Portal Entryways,portal-entryways,Josh Horne,https://www.linkedin.com/in/josh-horne-3b21928b/,\N,false,false,https://www.ycombinator.com/companies/portal-entryways/jobs (could not find a dedicated career website),Portal Entryways upgrades disabled-accessible doors so they can be…,Early,"{batteryless iot sensors,hardware}","{b2b,office management}","Provo, UT, USA; Remote",4,Winter 2019,5000000
